train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,5,26,True,True
increasing,5,27,True,True
increasing,5,28,True,True
increasing,5,29,True,True
increasing,5,30,True,True
increasing,5,31,True,True
increasing,5,32,True,True
increasing,5,33,True,True
increasing,5,34,True,True
increasing,5,35,True,True
increasing,5,36,True,True
increasing,5,37,True,True
increasing,5,38,True,True
increasing,5,39,True,True
increasing,5,40,True,True
increasing,5,41,True,True
increasing,5,42,True,True
increasing,5,43,True,True
increasing,5,44,True,True
increasing,5,45,True,True
increasing,5,46,True,True
increasing,5,47,True,True
increasing,6,0,True,True
increasing,6,1,True,True
increasing,6,2,True,True
increasing,6,3,True,True
increasing,6,4,True,True
increasing,6,5,True,True
increasing,6,6,True,True
increasing,6,7,True,True
increasing,6,8,True,True
increasing,6,9,True,True
increasing,6,10,True,True
increasing,6,11,True,True
increasing,6,12,True,True
increasing,6,13,True,True
increasing,6,14,True,True
increasing,6,15,True,True
increasing,6,16,True,True
increasing,6,17,True,True
increasing,6,18,True,True
increasing,6,19,True,True
increasing,6,20,True,True
increasing,6,21,True,True
increasing,6,22,True,True
increasing,6,23,True,True
increasing,6,24,True,True
increasing,6,25,True,True
increasing,6,26,True,True
increasing,6,27,True,True
increasing,6,28,True,True
increasing,6,29,True,True
increasing,6,30,True,True
increasing,6,31,True,True
increasing,6,32,True,True
increasing,6,33,True,True
increasing,6,34,True,True
increasing,6,35,True,True
increasing,6,36,True,True
increasing,6,37,True,True
increasing,6,38,True,True
increasing,6,39,True,True
increasing,6,40,True,True
increasing,6,41,True,True
increasing,6,42,True,True
increasing,6,43,True,True
increasing,6,44,True,True
increasing,6,45,True,True
increasing,6,46,True,True
increasing,7,0,True,True
increasing,7,1,True,True
increasing,7,2,True,True
increasing,7,3,True,True
increasing,7,4,True,True
increasing,7,5,True,True
increasing,7,6,True,True
increasing,7,7,True,True
increasing,7,8,True,True
increasing,7,9,True,True
increasing,7,10,True,True
increasing,7,11,True,True
increasing,7,12,True,True
increasing,7,13,True,True
increasing,7,14,True,True
increasing,7,15,True,True
increasing,7,16,True,True
increasing,7,17,True,True
increasing,7,18,True,True
increasing,7,19,True,True
increasing,7,20,True,True
increasing,7,21,True,True
increasing,7,22,True,True
increasing,7,23,True,True
increasing,7,24,True,True
increasing,7,25,True,True
increasing,7,26,True,True
increasing,7,27,True,True
increasing,7,28,True,True
increasing,7,29,True,True
increasing,7,30,True,True
increasing,7,31,True,True
increasing,7,32,True,True
increasing,7,33,True,True
increasing,7,34,True,True
increasing,7,35,True,True
increasing,7,36,True,True
increasing,7,37,True,True
increasing,7,38,True,True
increasing,7,39,True,True
increasing,7,40,True,True
increasing,7,41,True,True
increasing,7,42,True,True
increasing,7,43,True,True
increasing,7,44,True,True
increasing,7,45,True,True
increasing,8,0,True,True
increasing,8,1,True,True
increasing,8,2,True,True
increasing,8,3,True,True
increasing,8,4,True,True
increasing,8,5,True,True
increasing,8,6,True,True
increasing,8,7,True,True
increasing,8,8,True,True
increasing,8,9,True,True
increasing,8,10,True,True
increasing,8,11,True,True
increasing,8,12,True,True
increasing,8,13,True,True
increasing,8,14,True,True
increasing,8,15,True,True
increasing,8,16,True,True
increasing,8,17,True,True
increasing,8,18,True,True
increasing,8,19,True,True
increasing,8,20,True,True
increasing,8,21,True,True
increasing,8,22,True,True
increasing,8,23,True,True
increasing,8,24,True,True
increasing,8,25,True,True
increasing,8,26,True,True
increasing,8,27,True,True
increasing,8,28,True,True
increasing,8,29,True,True
increasing,8,30,True,True
increasing,8,31,True,True
increasing,8,32,True,True
increasing,8,33,True,True
increasing,8,34,True,True
increasing,8,35,True,True
increasing,8,36,True,True
increasing,8,37,True,True
increasing,8,38,True,True
increasing,8,39,True,True
increasing,8,40,True,True
increasing,8,41,True,True
increasing,8,42,True,True
increasing,8,43,True,True
increasing,8,44,True,True
increasing,9,0,True,True
increasing,9,1,True,True
increasing,9,2,True,True
increasing,9,3,True,True
increasing,9,4,True,True
increasing,9,5,True,True
increasing,9,6,True,True
increasing,9,7,True,True
increasing,9,8,True,True
increasing,9,9,True,True
